#Month,Customization,Task,Count
2023-08,/skf/emd,GetAlternatesLinks.xml,33229
2023-08,/skf/mmd/external,getDescribedByWTDocuments.xml,105
2023-08,/skf/mmd,getWTPartAllVersions.xml,5136
2023-08,/skf/emd,GetApplComponents.xml,9248
2023-08,/skf/emd,GetComponents.xml,9248
2023-08,/skf/emd,GetReferencesWTDocumentsByWTPartObid.xml,36992
2023-08,/com/ptc/windchill/enterprise/search,search-Search.xml,103
2023-08,/skf/mmd,getDrawings.xml,4128
2023-08,/skf/mupu,AddWTDocumentDescribingAWTPart.xml,1540
2023-08,/skf/mmd/external,getReferencesWTDocuments.xml,316
2023-08,/skf/mmd/external,getCadObject.xml,47
2023-08,/skf/mmd/external,approve_EmspSave.xml,12
2023-08,/skf/emd,GetDescribedByWTDocumentsByWTPartObid.xml,9248
2023-08,/skf/emd,GetWTPartByQuery.xml,5646
2023-08,/skf/emd,GetWTPartByQueryObid.xml,7837
2023-08,/ext/skf/wtdocservice,Create-UpdateWTDocument.XML,5873
2023-08,/skf/mmd/external,getURL.xml,9
2023-08,/skf/mmd/external,supplierverificationreport.xml,12
2023-08,/skf/emd,GetContent.xml,19371
2023-08,/skf/emd,GetSubstitutesLinks.xml,33229
2023-08,/skf/mmd,getWTPartRelations.xml,3120
2023-08,/skf/mmd,GetDescribedByWTDocumentsWithURL.xml,4128
2023-08,/skf/mmd/external,GetAllIterationsOfWTDocument.xml,14
2023-08,/skf/mmd/external,getIBAFromWTPartEMSP.xml,12
2023-08,/skf/mupu,GetDescribedByWTDocumentsForAWTPart.xml,144
2023-08,/skf/mmd,GetReferencesWTDocumentsWithURL.xml,4128
2023-08,/skf/emd,GetLatestVersionDescribedByWTDocumentsByWTPartObid.xml,9248
2023-08,/skf/mmd/external,getDrawing.xml,48
2023-08,/skf/mupu,getDocContent.xml,30
2023-08,/skf/mmd/external,getPrimaryContent.xml,113
2023-08,/skf/emd,GetWTPartByQueryNumber.xml,8958
2023-08,/skf/mmd/external,getEMSPWTPartWithVersion.xml,59
2023-08,/skf/mupu,GetAllWTDocumentsGettingReferencedByAWTPart.xml,333
2023-08,/skf/mmd/external,getUserGroups.xml,102
2023-08,/skf/mmd/external,searchEMD.xml,10
2023-08,/skf/mupu,linkWTDocuments.xml,61
2023-08,/skf/emd,GetWTDocumentByQuery.xml,923
2023-08,/skf/mmd/external,getDrawingWithVersion.xml,9
2023-08,/skf/mmd/external,search.xml,84
2023-08,/skf/mupu,SetLifeCycleState.xml,9
2023-08,/skf/mupu,Revise.xml,1
2023-08,/skf/mmd/external,searchSupplier.xml,89
2023-08,/skf/wepi/v2_5,CheckOutObject.xml,3515
2023-08,/skf/mupu,ReassignLifecycle.xml,1
2023-08,/skf/util,GetWTDocumentContent.xml,4551
2023-08,/skf/wedac,GetContent.xml,1713
2023-08,/skf/mupu,AddEPMDocumentDescribingAWTPart.xml,101
2023-08,/skf/util,UpdateAttributes.xml,39
2023-08,/skf/tolinfo,GetIBAs.xml,3
2023-08,/skf/wepi/v2_5,GetContainers.xml,2243
2023-08,/skf/wepi/v2_5,CreateConfigSpecGroup.xml,3043
2023-08,/skf/wepi/v2_5,GetData.xml,3200
2023-08,/skf/mupu,AddWTDocumentMasterReferenceToAWTPart.xml,266
2023-08,/skf/wepi/v2_5,CheckInObjectWithComment.xml,3249
2023-08,/skf/wepi/v2_5,ListWTViews.xml,2180
2023-08,/skf/wepi/v2_6p,WepiQuery1.xml,92961
2023-08,/skf/wepi/v2_5,GetUpdateData.xml,5532
2023-08,/skf/wepi/v2_5,RetrieveRelations.xml,8
2023-08,/skf/mupu,ReassignTeam.xml,1
2023-08,/skf/wepi/v2_5,ListWTLibraries.xml,654
2023-08,/skf/mupu,createWTPart.xml,7050
2023-08,/wt/federation/delegates/windchill,GetContentItems.xml,2
2023-08,/skf/wepi/v2_5,SelectFormat.xml,88462
2023-08,/skf/mupu,GetDescribedByEPMDrawingsForAWTPart.xml,155
2023-08,/skf/wepi/v2_5,UndoCheckOutObject.xml,179
2023-08,/skf/wepi/v2_5,UpdateWTPartUsageLink.xml,8
2023-08,/skf/util,GetAttributes.xml,6777
2023-08,/skf/mupu,linkWTParts.xml,144
2023-08,/skf/wepi/v2_6p,GetContainers.xml,17882
2023-08,/wt/federation/delegates/windchill,ListContentItems.xml,103
2023-08,/skf/wedac,GetObjects.xml,20
2023-08,/skf/wepi/v2_5,SelectConfigSpec.xml,45438
2023-09,/skf/emd,GetLatestVersionDescribedByWTDocumentsByWTPartObid.xml,60534
2023-09,/skf/drd/adapters,send2FtpMfgDb.xml,11129
2023-09,/skf/emd,GetWTDocumentByQuery.xml,5598
2023-09,/skf/emd,GetAlternatesLinks.xml,211662
2023-09,/skf/mmd,GetDescribedByWTDocumentsWithURL.xml,19230
2023-09,/skf/emd,GetComponents.xml,60534
2023-09,/skf/emd,GetDescribedByWTDocumentsByWTPartObid.xml,60534
2023-09,/ext/skf/wtdocservice,Create-UpdateWTDocument.xml,7
2023-09,/skf/mmd/external,getCadObject.xml,149
2023-09,/skf/emd,GetApplComponents.xml,60534
2023-09,/skf/emd,GetWTPartByQueryObid.xml,51918
2023-09,/com/ptc/windchill/enterprise/search,search-Search.xml,1511
2023-09,/skf/mupu,GetDescribedByWTDocumentsForAWTPart.xml,1473
2023-09,/skf/mmd,getWTPartRelations.xml,16776
2023-09,/skf/emd,GetSubstitutesLinks.xml,211662
2023-09,/skf/emd,GetReferencesWTDocumentsByWTPartObid.xml,242136
2023-09,/skf/mmd/external,getDrawing.xml,152
2023-09,/skf/mmd,getWTPartAllVersions.xml,21730
2023-09,/skf/mmd,getDrawings.xml,19230
2023-09,/skf/emd,GetContent.xml,112857
2023-09,/skf/mupu,Revise.xml,49
2023-09,/skf/mmd/external,GetAllIterationsOfWTDocument.xml,18
2023-09,/skf/mmd/external,getPrimaryContent.xml,546
